,username,date,description,location,following,followers,totaltweets,retweetcount,text,hashtags
83,kesittt,2022-03-08 08:02:39+00:00,"#SahabatGanjar ||
hanya bakul rawon yg pura pura jadi pemilik Kasipah Coffee, bukan kader partai politik, hanya kader partai tambahan, untuk INDONESIA MAJU 🇮🇩","Semarang, Jawa Tengah",7166,13503,30389,1,"Ngobrol bareng sing gayeng, rasah demo sik, ndak keno covid

https://t.co/zhNG9PktXn https://t.co/EnXei1BNF0",[]
84,shelbyfvk,2022-03-08 08:02:32+00:00,,,1,0,4,0,"Menurutnya, upaya tersebut dapat memperkuat kekebalan tubuh seseorang sehingga tidak mudah terpapar Covid-19

#BaktiEmasPKK https://t.co/Fk2IQ5UJJO",['BaktiEmasPKK']
85,rindoubelajar,2022-03-08 08:02:28+00:00,sasageyo kep1er,rant ,327,296,3341,0,covid udahan dongggg gue pengen hang out sama temen temen gue anjingggg udah di ajakin,[]
86,15quinsah,2022-03-08 08:02:27+00:00,,,6,10,175,0,"Tri mengatakan, vaksinasi merupakan langkah penting di tengah pandemi Covid-19. 💯😊😊

#BaktiEmasPKK https://t.co/umR0Ghs1IZ",['BaktiEmasPKK']
87,wahyu4k,2022-03-08 08:02:27+00:00,,,14,6,168,0,"Tri juga berharap program tersebut dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi. 

#BaktiEmasPKK https://t.co/dOMB9pXTQz",['BaktiEmasPKK']
88,LipatanE,2022-03-08 08:02:24+00:00,gw itu,,134,123,624,0,"Adapun untuk pencegahan penyebaran Covid-19, penerapan protokol kesehatan saat naik LRT Sumsel diwajibkan menggunakan masker, menjaga jarak baik di ruang tunggu stasiun maupun di dalam LRT, dan mencuci tangan

https://t.co/8PXXIX5kSk @jokowi",[]
89,hoop_skip,2022-03-08 08:02:21+00:00,65.332 12.86,hedgeworth,82,525,12846,1,"Member hari ni WhatsApp ""Budak tepeng suma pakat kena kobid. Baik hang check lekaih"" siott covid ni airborne bukan AirDrop lmaoo",[]
90,iwmagine,2022-03-08 08:02:17+00:00,BO imagine,,23,26,278,0,"Tri menyatakan bahwa, vaksinasi ini merupakan langkah penting di tengah pandemi Covid-19. #BaktiEmasPKK https://t.co/mGEQP2mQ4r",['BaktiEmasPKK']
91,dailysa13,2022-03-08 08:02:13+00:00,realita,,15,15,25,0,"beliau berujar ""Melalui vaksinasi kita harapkan bisa mencegah seseorang tidak mudah terpapar Covid-19,"" 
#BaktiEmasPKK https://t.co/He2xZddy5w",['BaktiEmasPKK']
92,caramelz_me,2022-03-08 08:02:12+00:00,‏‏‏‏‏‏‏‏‏‏أَ شْـــهَــدُ اَنْ لاَ إِ لـــــهَ إِ لاَّ الـلّــــــــــــه وَ أَ شْــهَــدُ أَنَّ مُحَـــمَّـــدً ا رَّ سُــوْ لُ الـلّـــــــــهُ ُ,,513,510,12016,0,@DinniEgamesana Emang suka gtu Jo.. si Deddy corb juga parahnya setelah negatif.. gw juga kena long covid lumayan lama dulu.. dan mayan parah 🤣,[]
93,wahyi4k,2022-03-08 08:02:08+00:00,Kucingg,,2,0,163,0,"""Melalui vaksinasi kita harapkan bisa mencegah seseorang tidak mudah terpapar Covid-19 dan imun nya bertambah
#BaktiEmasPKK https://t.co/lTwYeMEbaU",['BaktiEmasPKK']
94,SiskaFahira4,2022-03-08 08:02:00+00:00,,,14,13,582,0,"Tri mengatakan, vaksinasi merupakan langkah penting di tengah pandemi Covid-19. Benar sekali, vaksinasi sangat penting bagi daya tahan tubuh kita dari serangan virus

#BaktiEmasPKK https://t.co/Qc6YwmjFWx",['BaktiEmasPKK']
95,karimatafm1033,2022-03-08 08:01:49+00:00,"Dinamika Madura | #InformationAndSolution | Jalan Raya Panglegur 123 | sms / WA 08113451033 | call 087786661033, 0324-333555.",Jl. Ry Panglegur 123 Pamekasan,33,4656,37864,0,"#RadioKARIMATA 15.00
Meskipun pandemi covid-19 sudah mulai melandai di Indonesia, pembelajaran di tingkat Sekolah Menengah Atas (SMA) sederajat di Pamekasan masih menerapkan Pembelajaran Tatap Muka (PTM) 50 persen (Zyd)
https://t.co/9HUjwI6H7d",['RadioKARIMATA']
96,AlfiaPutriSals1,2022-03-08 08:01:47+00:00,,,12,12,527,0,"Menurutnya, upaya tersebut dapat memperkuat kekebalan tubuh seseorang sehingga tidak mudah terpapar Covid-19. Program vaksinasi ini dapat menjangkau lebih banyak masyarakat yang belum divaksinasi. Semangat untuk vaksin yaa

#BaktiEmasPKK https://t.co/fzVbkZcZlu",['BaktiEmasPKK']
97,AhmadJapra7,2022-03-08 08:01:47+00:00,"#Viral tanpa keraguan!
❤ for Save or like",Indonesia,11812,13109,16557,157,Saudi Mulai Lepas Masker-Turis Tak Perlu PCR: Bye-bye COVID-19? https://t.co/7jqeDSmt2D,[]
98,iffahhajar,2022-03-08 08:01:46+00:00,may Allah ease Hajar in any difficulties & circumstance she's facing آمين,anxious abt my future self,201,147,9591,0,"kalau close contact bagitau jelah awal² ni tak. masalahnya sekarang ni saya ni baru lepas habis kuarantin D-9 pastu skrg ni badan rasa semacam ni kita ghisau jugak la 🙂 dahla hancur sehancur2 nya dah februari haritu sbb covid, harap takde apa pun la skrg ni haih 😞",[]
99,nrdbhelianthus,2022-03-08 08:01:41+00:00,"Sorry if I'm not replying DM's, I really suck at it",,275,278,69312,0,@ezyunk @Netaflutar Silap-silap lepas ni kalau jumpa member bukan tanya dah booster/vaksin ke belum. Tanya dah kena covid ke belum 😅🤣,[]
